trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.9, 'e': 0.8789739655455832}",20,0,-164.58423950023302,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
130,False,"{'a': 0.9, 'e': 0.8780954309205613}",25,0,-134.4798271993083,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
131,False,"{'a': 0.9, 'e': 0.8772177743910435}",30,0,-112.10644892100069,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
132,False,"{'a': 0.9, 'e': 0.8763409950793732}",25,0,-104.22517063992726,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
133,False,"{'a': 0.9, 'e': 0.8754650921087711}",20,0,-85.31490412725765,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
134,False,"{'a': 0.9, 'e': 0.874590064603334}",30,0,-77.27480813220006,"{0: 18, 1: 6, 2: 5, 3: 1, 4: 0}",0
135,False,"{'a': 0.9, 'e': 0.8737159116880344}",25,0,-116.38047001574829,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
136,False,"{'a': 0.9, 'e': 0.8728426324887193}",25,0,-155.77374834591748,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
137,False,"{'a': 0.9, 'e': 0.8719702261321094}",20,0,-56.76461472169478,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
138,False,"{'a': 0.9, 'e': 0.8710986917457983}",20,0,-28.696861609043314,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
139,False,"{'a': 0.9, 'e': 0.8702280284582515}",20,9,-28.648956679043124,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
140,False,"{'a': 0.9, 'e': 0.8693582353988059}",20,0,-121.33720386122042,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
141,False,"{'a': 0.9, 'e': 0.8684893116976679}",20,0,-49.91459782051923,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
142,False,"{'a': 0.9, 'e': 0.867621256485914}",25,0,-107.36182023020068,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
143,False,"{'a': 0.9, 'e': 0.8667540688954889}",35,0,-245.91102111659038,"{0: 19, 1: 0, 2: 11, 3: 2, 4: 3}",0
144,False,"{'a': 0.9, 'e': 0.865887748059205}",25,0,-201.63922063664145,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
145,False,"{'a': 0.9, 'e': 0.8650222931107413}",20,8,-79.51868176781872,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 1}",1
146,False,"{'a': 0.9, 'e': 0.8641577031846428}",25,0,-104.38811979079382,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",1
147,False,"{'a': 0.9, 'e': 0.8632939774163194}",25,0,-125.18627045255441,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
148,False,"{'a': 0.9, 'e': 0.8624311149420455}",25,0,-105.7342798616651,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
149,False,"{'a': 0.9, 'e': 0.8615691148989583}",25,0,-149.12309977268424,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
150,False,"{'a': 0.9, 'e': 0.8607079764250578}",20,0,-73.3734730082147,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
151,False,"{'a': 0.9, 'e': 0.8598476986592055}",30,18,-109.39112178319142,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 2}",1
152,False,"{'a': 0.9, 'e': 0.8589882807411234}",20,10,3.703591105954442,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.8581297218113938}",25,0,-54.90788501347524,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
154,False,"{'a': 0.9, 'e': 0.8572720210114575}",30,0,-50.70016923062439,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
155,False,"{'a': 0.9, 'e': 0.8564151774836135}",25,4,-112.23149183422483,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 1}",1
156,False,"{'a': 0.9, 'e': 0.8555591903710185}",20,0,-65.08681607038469,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
157,False,"{'a': 0.9, 'e': 0.8547040588176851}",25,0,-91.98149678557353,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
158,False,"{'a': 0.9, 'e': 0.8538497819684817}",20,0,-69.00393018403304,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
159,False,"{'a': 0.9, 'e': 0.8529963589691315}",25,0,-92.58449345731466,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
160,False,"{'a': 0.9, 'e': 0.8521437889662113}",25,0,-155.7795359313668,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
161,False,"{'a': 0.9, 'e': 0.8512920711071511}",20,0,-59.904965917930014,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
162,False,"{'a': 0.9, 'e': 0.850441204540233}",20,15,-34.33618893374989,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.9, 'e': 0.8495911884145902}",20,0,-29.33381961521512,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
164,False,"{'a': 0.9, 'e': 0.8487420218802068}",30,0,-74.72473864209748,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
165,False,"{'a': 0.9, 'e': 0.8478937040879159}",30,0,-157.42126875151422,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
166,False,"{'a': 0.9, 'e': 0.8470462341893996}",25,0,-72.18686825378518,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
167,False,"{'a': 0.9, 'e': 0.8461996113371882}",20,0,4.61901484111886,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.9, 'e': 0.8453538346846587}",20,0,-116.25033131515907,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
169,False,"{'a': 0.9, 'e': 0.8445089033860343}",30,0,-198.9613580427099,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
170,False,"{'a': 0.9, 'e': 0.8436648165963837}",30,3,-118.84981750646297,"{0: 16, 1: 4, 2: 4, 3: 2, 4: 1}",1
171,False,"{'a': 0.9, 'e': 0.8428215734716199}",20,0,-88.8452657084,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
172,False,"{'a': 0.9, 'e': 0.8419791731684999}",30,0,-59.00957117216033,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
173,False,"{'a': 0.9, 'e': 0.8411376148446232}",20,0,-76.87012684119998,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
174,False,"{'a': 0.9, 'e': 0.8402968976584314}",20,0,-113.78950444871812,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 0}",0
175,False,"{'a': 0.9, 'e': 0.8394570207692074}",25,0,-100.3985784172823,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
176,False,"{'a': 0.9, 'e': 0.838617983337074}",20,0,-62.449619141717385,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
177,False,"{'a': 0.9, 'e': 0.8377797845229938}",30,0,-119.95992715438315,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
178,False,"{'a': 0.9, 'e': 0.8369424234887681}",25,7,-113.13827738756791,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 3}",1
179,False,"{'a': 0.9, 'e': 0.8361058993970355}",20,0,-26.829295833812225,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
180,False,"{'a': 0.9, 'e': 0.835270211411272}",25,3,-96.75201632235542,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 1}",1
181,False,"{'a': 0.9, 'e': 0.8344353586957896}",25,0,-252.74206591618668,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
182,False,"{'a': 0.9, 'e': 0.8336013404157353}",35,13,-69.22441304944833,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 1}",1
